Date,Index Level
2024-03-19,100.0
2024-03-20,105.74209969484242
2024-03-21,106.67124427299227
2024-03-22,106.64610314418303
2024-03-25,106.32917553941273
2024-03-26,106.58026048959185
2024-03-27,108.09733965732985
2024-03-28,108.62175052513629
2024-04-01,113.32107921675582
2024-04-02,113.35160548064806
2024-04-03,116.00572882095499
2024-04-04,118.04282419286113
2024-04-05,118.68380876103527
2024-04-08,119.72706574528493
2024-04-09,120.0540434877416
2024-04-10,120.03367216443534
2024-04-11,122.08696900934598
2024-04-12,122.19101779080682
2024-04-15,121.03249036548422
2024-04-16,121.70953337860671
2024-04-17,122.14560538087161
2024-04-18,122.57888550663421
2024-04-19,122.802947880431
2024-04-22,124.22416304588813
2024-04-23,126.4902404632351
2024-04-24,130.4039814984588
2024-04-25,130.35647443098446
2024-04-26,131.98645791692456
2024-04-29,131.8703750916354
2024-04-30,132.0132476090675
2024-05-01,132.35138349073645
2024-05-02,134.56460201547011
2024-05-03,135.15510385555285
2024-05-06,135.4824943182624
2024-05-07,138.74405476655284
2024-05-08,138.75447059019606
2024-05-09,139.09389166920758
2024-05-10,139.27182631640986
2024-05-13,140.9826584286128
2024-05-14,142.03222014152323
2024-05-15,143.05602596905257
2024-05-16,143.7301532348185
2024-05-17,143.7649925696244
2024-05-20,143.48374061624042
2024-05-21,143.7219704954272
2024-05-22,144.63651275034667
2024-05-23,145.23291926212517
2024-05-24,147.0608635227158
2024-05-28,146.30165125587808
2024-05-29,146.6108335976854
2024-05-30,147.307202021355
2024-05-31,148.0651291389873
2024-06-03,147.74869915627022
2024-06-04,148.00652637215367
2024-06-05,148.99265796978327
2024-06-06,151.92077705528945
2024-06-07,151.32929132313808
2024-06-10,150.7827478477901
2024-06-11,150.9547026524926
2024-06-12,152.90974520699402
2024-06-13,152.48404759377078
2024-06-14,153.24106884007193
2024-06-17,152.46679757392934
2024-06-18,152.96527650970714
2024-06-20,152.83006404790072
2024-06-21,156.04042797385057
2024-06-24,155.35783696595806
2024-06-25,156.07261426491047
2024-06-26,156.09796864150024
2024-06-27,157.83257743789682
2024-06-28,158.66181471631052
2024-07-01,158.59476314305917
2024-07-02,159.54760956853585
2024-07-03,161.1420246935357
2024-07-05,159.9329384800058
2024-07-08,160.3630224559859
