Date,Index Level
2024-03-19,100.0
2024-03-20,100.33328289682876
2024-03-21,101.26654966050054
2024-03-22,100.86099516004475
2024-03-25,99.89514470404534
2024-03-26,100.08043313992657
2024-03-27,101.83253759022517
2024-03-28,102.23800264036423
2024-04-01,100.46707876884189
2024-04-02,100.84316173024105
2024-04-03,101.22116047251971
2024-04-04,100.9965916115267
2024-04-05,103.57741300782408
2024-04-08,102.15871876913566
2024-04-09,102.01460201614744
2024-04-10,103.51228030813417
2024-04-11,102.9728589319174
2024-04-12,102.68353724898799
2024-04-15,100.55678066051289
2024-04-16,100.44422756461981
2024-04-17,100.48252722448042
2024-04-18,101.78273946892693
2024-04-19,102.0997507167251
2024-04-22,103.08235932918654
2024-04-23,104.34961654550106
2024-04-24,105.09564717881645
2024-04-25,105.89870766849477
2024-04-26,107.26205184380015
2024-04-29,106.40920747710062
2024-04-30,106.16328755621018
2024-05-01,106.80589624500843
2024-05-02,107.22775523001624
2024-05-03,107.46000277774391
2024-05-06,107.39112051453647
2024-05-07,107.46032343598353
2024-05-08,109.09668802537732
2024-05-09,109.74893121380808
2024-05-10,109.22066610923044
2024-05-13,109.15573131500402
2024-05-14,111.55251521700082
2024-05-15,111.43322020778632
2024-05-16,111.34484058149738
2024-05-17,111.38078300498782
2024-05-20,109.74356296006914
2024-05-21,109.36483306942299
2024-05-22,108.82210034748769
2024-05-23,110.09037425275397
2024-05-24,109.98119641521097
2024-05-28,108.53838563027607
2024-05-29,108.23715661499921
2024-05-30,111.04139031568971
2024-05-31,111.77793841909767
2024-06-03,110.16280714403736
2024-06-04,109.452074859202
2024-06-05,109.56767878527185
2024-06-06,109.29333661037592
2024-06-07,108.8916323188979
2024-06-10,107.87289163743026
2024-06-11,108.2511443253562
2024-06-12,108.21750083653528
2024-06-13,107.73444816412807
2024-06-14,107.06290395901206
2024-06-17,107.56994914113383
2024-06-18,106.90525602724054
2024-06-20,105.86954462855108
2024-06-21,106.52139769073239
2024-06-24,106.82666726594971
2024-06-25,110.56044309667617
2024-06-26,113.82499588929531
2024-06-27,115.7626050748967
2024-06-28,119.43156727724839
2024-07-01,120.01933091144836
2024-07-02,119.95778438374599
2024-07-03,120.8138144127996
2024-07-05,120.11003573553478
2024-07-08,118.52937078678615
2024-07-09,118.1492202889833
2024-07-10,118.59329766047402
2024-07-11,120.25701142602863
2024-07-12,120.67291968113081
2024-07-15,120.34296045786375
2024-07-16,121.62433481153522
2024-07-17,121.10646143731306
2024-07-18,121.43198629060666
2024-07-19,121.15731983693212
2024-07-22,120.98393130385902
2024-07-23,121.54663086626792
2024-07-24,122.4299628650324
2024-07-25,124.01255266450534
2024-07-26,126.92882400688481
2024-07-29,126.27365875187802
2024-07-30,130.48965140880892
2024-07-31,131.738759970339
2024-08-01,131.76670353035678
2024-08-02,130.19790777825827
2024-08-05,128.155067716922
2024-08-06,128.5965076852741
2024-08-07,128.4013082586172
2024-08-08,128.98963242665536
2024-08-09,129.38789923461383
2024-08-12,128.02083326339485
2024-08-13,128.83748758330427
2024-08-14,129.1056878853879
2024-08-15,129.4041737189383
2024-08-16,129.9365497457362
2024-08-19,128.88727082432143
2024-08-20,128.34769367295817
2024-08-21,128.3740299406069
2024-08-22,129.02652589628102
2024-08-23,131.26058178563292
2024-08-26,130.07063574923166
2024-08-27,129.76838944331863
2024-08-28,133.42798129839574
2024-08-29,133.50355636772923
2024-08-30,135.25100159025337
2024-09-03,131.2606239129497
2024-09-04,132.37641368303247
2024-09-05,132.95395846061447
2024-09-06,132.0124086406513
2024-09-09,130.80196481617918
2024-09-10,132.24451137939215
2024-09-11,132.32538115315725
2024-09-12,132.6600510107417
2024-09-13,133.1109396971189
2024-09-16,132.63964398427865
2024-09-17,132.96803636546034
2024-09-18,132.81580276273573
2024-09-19,135.60723358996864
2024-09-20,134.90903763509476
2024-09-23,132.9852909533585
2024-09-24,133.16440255742256
2024-09-25,133.79149127296915
2024-09-26,133.82712031071662
2024-09-27,136.23536129848935
2024-09-30,138.07660486672415
2024-10-01,137.36994591872178
2024-10-02,137.13179347450625
2024-10-03,136.26635570822384
2024-10-04,137.69242070957048
2024-10-07,136.00610023898682
2024-10-08,137.44545511742757
2024-10-09,138.27020420599516
2024-10-10,139.02728143921408
2024-10-11,139.6896882765246
2024-10-14,138.78874485743617
2024-10-15,138.5398402981513
2024-10-16,138.71203288732886
2024-10-17,138.67259991937024
2024-10-18,138.05379493602084
2024-10-21,136.53483300642864
2024-10-22,137.7831009850477
2024-10-23,136.91871953725197
2024-10-24,136.46219278630923
2024-10-25,137.2808524995285
2024-10-28,135.9543582172103
2024-10-29,137.3520317718893
2024-10-30,137.23363314771643
2024-10-31,136.25647040687664
2024-11-01,140.64983642179118
2024-11-04,138.5999984306821
2024-11-05,140.39243703183945
2024-11-06,147.87807785229924
2024-11-07,149.73052433123115
2024-11-08,151.11089617375606
2024-11-11,150.22802258767493
2024-11-12,149.5305153981395
2024-11-13,148.9827163916233
2024-11-14,149.98953167720006
2024-11-15,149.20189434723457
2024-11-18,147.1788805474364
2024-11-19,146.8853253331863
2024-11-20,149.69439123296664
2024-11-21,149.95107085487265
2024-11-22,151.8426816972786
2024-11-25,150.57849002094946
2024-11-26,150.9460068296914
2024-11-27,150.4081057936953
2024-11-29,149.97725240957257
2024-12-02,148.752716164034
2024-12-03,147.97866703093027
2024-12-04,148.03763485078673
2024-12-05,148.77474463834062
2024-12-06,151.37063214460812
2024-12-09,150.72135561688404
2024-12-10,155.30184585262063
2024-12-11,156.93903558939775
