Date,Index Level
2024-03-19,100.0
2024-03-20,103.22100095139537
2024-03-21,103.5072575682794
2024-03-22,103.58480662384976
2024-03-25,103.10237230139847
2024-03-26,103.11579088605032
2024-03-27,103.59508514815526
2024-03-28,103.83196829907507
2024-04-01,105.5559801706283
2024-04-02,107.90661475351263
2024-04-03,109.13713711084358
2024-04-04,109.45210773547977
2024-04-05,109.20757869880532
2024-04-08,109.36111853131533
2024-04-09,110.34889616882897
2024-04-10,110.44245925320136
2024-04-11,113.62886437934272
2024-04-12,113.31950499646506
2024-04-15,113.97336835465975
2024-04-16,113.98421634184375
2024-04-17,114.05191036944564
2024-04-18,114.0686367039023
2024-04-19,114.44192433900706
2024-04-22,114.3450310754009
2024-04-23,116.48073884150583
2024-04-24,116.72653417262605
2024-04-25,117.62592795922404
2024-04-26,118.81815005607815
2024-04-29,118.34593837381557
2024-04-30,118.04745230034123
2024-05-01,118.96552768858848
2024-05-02,120.33604329107224
2024-05-03,121.11396741879312
2024-05-06,123.83574166551873
2024-05-07,123.23249082085145
2024-05-08,124.04597505507893
2024-05-09,124.5563413899851
2024-05-10,125.38266618838452
2024-05-13,125.34204492731992
2024-05-14,127.14373526319577
2024-05-15,128.8175896141435
2024-05-16,130.72906742762513
2024-05-17,130.8430874883347
2024-05-20,132.38601152037057
2024-05-21,135.01507324807682
2024-05-22,139.14773415787312
2024-05-23,139.59869458821257
2024-05-24,140.96692981439395
2024-05-28,143.43533758962116
2024-05-29,143.8827296437497
2024-05-30,143.86834490087458
2024-05-31,143.6968053047023
2024-06-03,146.75737893443525
2024-06-04,147.96938112935214
2024-06-05,147.5063261336236
2024-06-06,150.64483851228354
2024-06-07,150.7931350758396
2024-06-10,152.3959810023409
2024-06-11,155.51909343516994
2024-06-12,156.4172618736808
2024-06-13,157.29933718265946
2024-06-14,157.455956481118
2024-06-17,157.52118934421622
2024-06-18,157.65063360719827
2024-06-20,158.4558451770233
2024-06-21,157.88236186518907
2024-06-24,157.11191070004705
2024-06-25,156.77187804993255
2024-06-26,157.5704684567508
2024-06-27,159.41445495556133
2024-06-28,160.73067581554994
2024-07-01,159.6130698170703
2024-07-02,160.41946745020348
2024-07-03,162.35724235727957
2024-07-05,164.08736485148333
2024-07-08,169.20485061447548
2024-07-09,169.94872015075762
2024-07-10,171.23861628126636
2024-07-11,173.90080642833422
2024-07-12,177.62216875666036
2024-07-15,178.5042102380923
2024-07-16,180.45233911704972
2024-07-17,180.26173306896254
2024-07-18,179.60215312306744
2024-07-19,179.71224887210263
2024-07-22,180.77303636679807
2024-07-23,181.74079345376106
2024-07-24,182.99772215411332
2024-07-25,183.39812736531545
2024-07-26,183.74715752201263
2024-07-29,182.42916082119834
2024-07-30,182.9499874489445
2024-07-31,195.1258606660387
2024-08-01,195.15527667226436
2024-08-02,195.65479053565758
2024-08-05,192.6444888683972
2024-08-06,193.73082244434937
2024-08-07,195.83911131105992
2024-08-08,198.01300134154323
2024-08-09,198.59363989499278
2024-08-12,197.65772973654245
2024-08-13,200.94946812361138
2024-08-14,200.63290180087282
2024-08-15,203.24347338777392
2024-08-16,203.45017884470855
2024-08-19,204.47098667562338
2024-08-20,204.0808335190012
2024-08-21,206.91417511854286
2024-08-22,206.89513505489592
2024-08-23,208.2812149516314
2024-08-26,207.86027959570234
2024-08-27,208.08688518859395
2024-08-28,207.8490793358852
2024-08-29,208.98453261083358
2024-08-30,209.6106418757668
2024-09-03,207.9543238006396
2024-09-04,208.4287160222358
2024-09-05,210.47770789164844
2024-09-06,210.27127610547373
2024-09-09,210.19892367454722
2024-09-10,213.08106947180596
2024-09-11,213.2098006323335
2024-09-12,218.5362091033003
2024-09-13,223.98973112822324
2024-09-16,234.90432220921173
2024-09-17,234.61288136618697
2024-09-18,234.07929168301678
2024-09-19,235.18686249886056
2024-09-20,236.68400961727465
2024-09-23,237.43221334594313
2024-09-24,238.62503876729542
2024-09-25,237.79487168212967
2024-09-26,239.3821663296644
2024-09-27,240.0205804100002
2024-09-30,239.11451387148514
2024-10-01,238.2879829875467
2024-10-02,238.4694626707096
2024-10-03,240.11948104089961
2024-10-04,239.65196306792174
2024-10-07,238.71212623500386
2024-10-08,240.32239990217906
2024-10-09,240.8099830481559
2024-10-10,242.9051563456218
2024-10-11,246.98785147652853
2024-10-14,246.75698993226098
2024-10-15,247.08151132524364
2024-10-16,249.0787510787616
2024-10-17,250.1267047387416
2024-10-18,254.9454912516734
2024-10-21,255.79966096737223
2024-10-22,259.34843569012577
2024-10-23,260.29847515475706
2024-10-24,262.5183450620732
2024-10-25,260.97772554847234
2024-10-28,260.0120140525128
2024-10-29,260.36129555775136
2024-10-30,264.8700547028845
2024-10-31,265.19342720591294
2024-11-01,267.246242937482
2024-11-04,266.91712968040645
2024-11-05,273.08960772331017
2024-11-06,277.13389611773556
2024-11-07,278.3268561718544
2024-11-08,283.9549324068954
2024-11-11,285.708191898752
2024-11-12,284.88511971026065
2024-11-13,286.6255090110167
2024-11-14,295.02834470900285
2024-11-15,297.5462400827455
2024-11-18,296.2694897781211
2024-11-19,296.99275921112974
2024-11-20,299.15732367899665
2024-11-21,301.8524169570029
2024-11-22,306.2067271523518
2024-11-25,307.011139421413
2024-11-26,314.0714185398635
2024-11-27,313.75226350365637
2024-11-29,314.39572046107475
2024-12-02,319.948846714713
2024-12-03,320.29269111834265
2024-12-04,319.5204425964237
2024-12-05,318.92195425793255
2024-12-06,321.1849320579455
2024-12-09,320.7603588897022
2024-12-10,324.9979379169016
2024-12-11,326.8096015588516
