Date,Index Level
2024-03-19,100.0
2024-03-20,104.72858291555825
2024-03-21,105.01807933374262
2024-03-22,104.00161153311126
2024-03-25,100.28138923738472
2024-03-26,99.70827344439516
2024-03-27,102.44328696237038
2024-03-28,101.55913987824889
2024-04-01,100.86119712387249
2024-04-02,99.17654027988145
2024-04-03,99.25123830079866
2024-04-04,99.43013298987873
2024-04-05,101.29864737239227
2024-04-08,101.07225069219963
2024-04-09,101.48652827224481
2024-04-10,101.4896879137008
2024-04-11,101.60680778473987
2024-04-12,100.24329326699704
2024-04-15,98.31316973023343
2024-04-16,98.80447760267361
2024-04-17,97.26858041149897
2024-04-18,97.95431487191395
2024-04-19,100.29112931140733
2024-04-22,99.74942032637178
2024-04-23,100.84226072160256
2024-04-24,100.82433153804824
2024-04-25,100.06334295702275
2024-04-26,101.17552273410642
2024-04-29,99.80697828149117
2024-04-30,100.5156910535206
2024-05-01,99.85049679448443
2024-05-02,100.89622220920097
2024-05-03,101.55050053455103
2024-05-06,100.25023240874538
2024-05-07,99.44967688516972
2024-05-08,100.22658819214448
2024-05-09,102.76675015051315
2024-05-10,102.43262109102335
2024-05-13,100.37798739067217
2024-05-14,103.28171453159798
2024-05-15,106.42150801636215
2024-05-16,105.89706018364899
2024-05-17,105.89227463858879
2024-05-20,104.86356283189185
2024-05-21,104.64149022752227
2024-05-22,110.77562611639101
2024-05-23,109.49973868653835
2024-05-24,112.1683057975986
2024-05-28,110.33165618152879
2024-05-29,109.33305890731266
2024-05-30,110.10795658119805
2024-05-31,109.73826993832468
2024-06-03,109.10165591592823
2024-06-04,109.0737926747115
2024-06-05,109.26237706324773
2024-06-06,112.70590177717088
2024-06-07,111.98020614561491
2024-06-10,111.19521986692334
2024-06-11,112.12857555263535
2024-06-12,112.81821608824461
2024-06-13,112.03421063372534
2024-06-14,111.73744032213243
2024-06-17,111.69747486548975
2024-06-18,111.79762676822837
2024-06-20,111.71765970955246
2024-06-21,112.31008509730277
2024-06-24,111.32375607611382
2024-06-25,110.97616581325252
2024-06-26,111.07372358231493
2024-06-27,116.64294415435856
2024-06-28,116.37012894215431
2024-07-01,115.11160797378545
2024-07-02,114.79780725705608
2024-07-03,114.41620929628684
2024-07-05,114.50358544172197
2024-07-08,116.24862300708148
2024-07-09,115.67487614982495
2024-07-10,117.319194058919
2024-07-11,119.39195078866577
2024-07-12,120.153371466486
2024-07-15,121.73819053767411
2024-07-16,122.75284794107706
2024-07-17,122.84846381890412
2024-07-18,124.3297768203809
2024-07-19,125.18334542906045
2024-07-22,125.31599454916683
2024-07-23,125.55848617169427
2024-07-24,125.14660337482725
2024-07-25,125.90242070036123
2024-07-26,126.17711622779476
2024-07-29,124.46551298093307
2024-07-30,124.5297935222738
2024-07-31,124.05473825149348
2024-08-01,127.1128223313627
2024-08-02,125.7442119821472
2024-08-05,123.10003847291753
2024-08-06,122.87424500553419
2024-08-07,122.5192818307537
2024-08-08,123.46797985979471
2024-08-09,127.88912562102773
2024-08-12,127.29037784407923
2024-08-13,131.29658677399792
2024-08-14,132.88877747333996
2024-08-15,133.31737134214382
2024-08-16,156.40502382471902
2024-08-19,164.22990333661576
2024-08-20,167.9511728736642
2024-08-21,167.9823761252123
2024-08-22,167.69531509017244
2024-08-23,170.6959321287221
2024-08-26,170.25736110591617
2024-08-27,170.13105934118659
2024-08-28,178.5943516749387
2024-08-29,178.6179362045441
2024-08-30,179.1081736689761
2024-09-03,181.506519315276
2024-09-04,182.80440447403595
2024-09-05,183.02696213688844
2024-09-06,183.4927411645644
2024-09-09,183.23998230623013
2024-09-10,187.41703366070976
2024-09-11,187.13494313764292
2024-09-12,187.49347072715213
2024-09-13,187.44695113885533
2024-09-16,188.2254300026308
2024-09-17,188.92631561291236
2024-09-18,188.74242568121437
2024-09-19,188.92857196143356
2024-09-20,189.16491901811906
2024-09-23,188.56598914209818
2024-09-24,188.27520024908372
2024-09-25,188.20881314909144
2024-09-26,188.33817596754224
2024-09-27,188.63460338478265
2024-09-30,188.05131595408696
2024-10-01,188.51658178038525
2024-10-02,188.99231472863332
2024-10-03,189.08452039037323
2024-10-04,190.42882118334308
2024-10-07,201.74964926027306
2024-10-08,201.54536849515964
2024-10-09,208.36228262199586
2024-10-10,207.83176552146185
2024-10-11,207.89502758936098
2024-10-14,207.41805791235493
2024-10-15,215.7251998146225
2024-10-16,224.39436536261815
2024-10-17,224.0404190864217
2024-10-18,881.2734932272645
2024-10-21,878.3263919891357
2024-10-22,877.7563633941114
2024-10-23,876.5581350002453
2024-10-24,876.4202617708453
2024-10-25,876.3278880166966
2024-10-28,884.26234138689
2024-10-29,884.5068688198276
2024-10-30,884.5277549978822
2024-10-31,883.9799941338015
2024-11-01,884.1418129061643
2024-11-04,884.3796621466215
2024-11-05,884.6070866952682
2024-11-06,885.39053098533
2024-11-07,885.6547178871449
2024-11-08,885.7807317088558
2024-11-11,885.7506293349055
2024-11-12,885.80902194561
2024-11-13,885.689897676142
2024-11-14,887.5353721149662
2024-11-15,887.1802638749283
2024-11-18,886.8304215898403
2024-11-19,887.3856218603847
2024-11-20,887.2180685374368
2024-11-21,889.3544510095649
2024-11-22,890.9187696512892
2024-11-25,889.5041541038596
2024-11-26,888.5193061860398
2024-11-27,886.8516804797789
2024-11-29,885.0405754828492
2024-12-02,882.3262378262355
2024-12-03,877.1185944125209
2024-12-04,883.4438637968972
2024-12-05,881.4065400994814
2024-12-06,882.8655906711367
2024-12-09,878.8824651300208
2024-12-10,879.4495214949496
2024-12-11,878.7758002987307
